"Scope","Rule","Severity","Count","ExampleFile","ExampleLine","ExampleMessage"
"First-party","FieldCanBeMadeReadOnly.Global","note","13","Assets/Game/Runtime/Items/ItemDefinition.cs","10","Field can be made readonly"
"Vendor/generated/other","FieldCanBeMadeReadOnly.Local","note","193","Assets/FishNet/CodeGenerating/Helpers/CodegenSession.cs","37","Field can be made readonly"
"First-party","FieldCanBeMadeReadOnly.Local","note","9","Assets/Game/Runtime/Avatars/AvatarAnimationGraph.cs","117","Field can be made readonly"
"Vendor/generated/other","ForCanBeConvertedToForeach","note","222","Assets/FishNet/CodeGenerating/Helpers/Extension/GetConstructor.cs","105","'for' loop can be converted into 'foreach' loop"
"First-party","ForCanBeConvertedToForeach","note","8","Assets/Game/Runtime/Avatars/AvatarPresentationSystem.cs","54","'for' loop can be converted into 'foreach' loop"
"Vendor/generated/other","HeuristicUnreachableCode","warning","14","Assets/FishNet/CodeGenerating/Helpers/Typed/GeneratorHelper.cs","135","Code is heuristically unreachable"
"Vendor/generated/other","InconsistentNaming","warning","3454","Assets/FishNet/CodeGenerating/cecil-0.11.4/rocks/Mono.Cecil.Rocks/Functional.cs","18","Name 'A' does not match rule 'Type parameters'. Suggested name is 'TA'."
"First-party","InconsistentNaming","warning","2002","Assets/Game/Runtime/Avatars/AvatarSettings.cs","42","Name 'AdditionalSprings' does not match rule 'Unity serialized field'. Suggested name is 'additionalSprings'."
"Vendor/generated/other","InconsistentlySynchronizedField","warning","2","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/IConstantProvider.cs","28","The field is sometimes used inside synchronized block and sometimes used without synchronization"
"Vendor/generated/other","InlineOutVariableDeclaration","note","210","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","214","Inline 'out' variable declaration"
"First-party","InlineOutVariableDeclaration","note","2","Assets/Game/Runtime/Items/RigidbodyMotionState.cs","82","Inline 'out' variable declaration"
"Vendor/generated/other","IntVariableOverflowInUncheckedContext","warning","1","Assets/FishNet/Runtime/Transporting/Transports/Tugboat/LiteNetLib/Utils/CRC32C.cs","127","Possible overflow in 'unchecked' context"
"Vendor/generated/other","IntroduceOptionalParameters.Global","note","15","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/BaseAssemblyResolver.cs","38","Introduce optional parameter(s) for constructor 'AssemblyResolutionException(AssemblyNameReference, Exception)'"
"Vendor/generated/other","IntroduceOptionalParameters.Local","note","1","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/Import.cs","172","Introduce optional parameter(s) for method 'TypeReference ImportType(Type, ImportGenericContext, ImportGenericKind)'"
"Vendor/generated/other","InvalidXmlDocComment","warning","924","Assets/FishNet/Runtime/Object/Synchronizing/SyncDictionary.cs","55","'=' expected"
"Vendor/generated/other","InvokeAsExtensionMember","note","1","Assets/FishNet/CodeGenerating/Processing/NetworkBehaviourProcessor.cs","57","Invoke as extension method"
"Vendor/generated/other","IteratorNeverReturns","warning","1","Assets/FishNet/Runtime/Plugins/GameKit/Dependencies/Utilities/Types/ObjectPooling/Scripts/ObjectPool.cs","151","Iterator never returns"
"Vendor/generated/other","JoinDeclarationAndInitializer","note","39","Assets/FishNet/CodeGenerating/Helpers/GeneralHelper.cs","86","Join declaration and assignment"
"Vendor/generated/other","JoinNullCheckWithUsage","note","15","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/PortablePdb.cs","203","Join 'null' check with assignment"
"Vendor/generated/other","LocalVariableHidesMember","warning","98","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/CodeWriter.cs","158","Local variable 'body' hides field 'MonoFN.Cecil.Cil.CodeWriter.body'"
"First-party","LocalVariableHidesMember","warning","12","Assets/Game/Runtime/UI/SessionOverlay.cs","62","Local variable 'cancel' hides field 'TwoBirds.SessionOverlay.cancel'"
"Vendor/generated/other","MISMATCHED_ASMDEF_FILENAME","note","3","Assets/FishNet/CodeGenerating/Unity.FishNet.CodeGen.asmdef","2","File name should match the name of the assembly"
"Vendor/generated/other","MemberCanBePrivate.Global","note","558","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/ModuleDefinition.cs","182","Accessor 'Architecture.set' can be made private"
"First-party","MemberCanBePrivate.Global","note","59","Assets/Game/Runtime/Birds/BirdRewardLedger.cs","7","Class 'Release' can be made private"
"Vendor/generated/other","MemberCanBePrivate.Local","note","4","Assets/FishNet/Runtime/Generated/Component/NetworkAnimator/NetworkAnimator.cs","2036","Constant 'MAXIMUM_BUFFER_COUNT' can be made private"
"Vendor/generated/other","MemberCanBeProtected.Global","note","80","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.PE/BinaryStreamReader.cs","20","Accessor 'Position.set' can be made protected"
"First-party","MemberHidesStaticFromOuterClass","warning","1","Assets/Game/Runtime/Items/ItemContactPhysics.cs","11","Field 'Vector3 Normal' hides method from outer class"
"Vendor/generated/other","MemberInitializerValueIgnored","warning","5","Assets/FishNet/Runtime/Object/Synchronizing/SyncDictionary.cs","100","Field initializer value ignored during initialization"
"Vendor/generated/other","MergeCastWithTypeCheck","note","4","Assets/FishNet/CodeGenerating/Processing/WriterProcessor.cs","517","Merge cast with type check"
"First-party","MergeCastWithTypeCheck","note","1","Assets/Game/Runtime/Items/ItemReleaseClearance.cs","59","Merge cast with type check"
"Vendor/generated/other","MergeConditionalExpression","note","53","Assets/FishNet/CodeGenerating/Extension/MethodDefinitionExtensions.cs","199","Merge conditional expression"
"First-party","MergeConditionalExpression","note","2","Assets/Game/Runtime/Player/PlayerHeldItemPresentation.cs","703","Merge conditional expression"
"Vendor/generated/other","MergeIntoPattern","note","45","Assets/FishNet/CodeGenerating/Helpers/Extension/TypeDefinitionExtensions.cs","193","Merge into pattern"
"First-party","MergeIntoPattern","note","52","Assets/Game/Editor/TwoBirdsBuildPipeline.cs","90","Merge into pattern"
"Vendor/generated/other","MethodOverloadWithOptionalParameter","warning","3","Assets/FishNet/Runtime/Object/NetworkObject/NetworkObject.cs","1217","Method with optional parameter is hidden by overload"
